system	title	rom
GB	Dead Heat Scramble	Dead Heat Scramble (U) [!].gb
GB	Deep - Final Mission	Deep - Final Mission (Sachen) [!].gb
GB	Dennis the Menace	Dennis the Menace (U) [!].gb
GB	Desert Strike - Return to the Gulf	Desert Strike - Return to the Gulf (U) (Malibu) [S][!].gb
GB	Dexterity	Dexterity (U) [!].gb
GB	Diablo	Diablo (U) (Prototype).gb
GB	Dick Tracy	Dick Tracy (U).gb
GB	Dig Dug	Dig Dug (U) [!].gb
GB	Dirty Racing	Dirty Racing (J) [!].gb
GB	Disney's Mulan	Disney's Mulan (U) [S].gb
GB	Dodge Ball	Dodge Ball (J).gb
GB	Dodge Boy	Dodge Boy (J).gb
GB	Dodge Danpei	Dodge Danpei (J).gb
GB	Donald Duck in Maui Mallard	Donald Duck in Maui Mallard (U) [!].gb
GB	Donkey Kong	Donkey Kong (JU) (V1.0) [S][!].gb
GB	Donkey Kong Land	Donkey Kong Land (U) [S][!].gb
GB	Donkey Kong Land 2	Donkey Kong Land 2 (UE) [S][!].gb
GB	Donkey Kong Land III	Donkey Kong Land III (U) (V1.0) [S][!].gb
GB	Doraemon	Doraemon (J).gb
GB	Doraemon 2	Doraemon 2 (J).gb
GB	Doraemon Kart	Doraemon Kart (J) [S].gb
GB	Double Dragon	Double Dragon (U) [!].gb
GB	Double Dragon 2	Double Dragon 2 (U) [!].gb
GB	Double Dragon 3	Double Dragon 3 (U) [!].gb
GB	Double Dribble - 5 on 5	Double Dribble - 5 on 5 (U) [!].gb
GB	Dr. Franken	Dr. Franken (U) [!].gb
GB	Dr. Franken II	Dr. Franken II (UE) (M7) [!].gb
GB	Dr. Mario	Dr. Mario (W) (V1.0) [!].gb
GB	Dragon Heart	Dragon Heart (U) [!].gb
GB	Dragon Slayer I	Dragon Slayer I (J).gb
GB	Dragon's Lair - The Legend	Dragon's Lair - The Legend (U) [!].gb
GB	Dropzone	Dropzone (U) [M].gb
GB	Duck Adventures	Duck Adventures (Sachen 4-in-1 Vol. 1) (Unl) [!].gb
GB	Duck Tales	Duck Tales (U) [!].gb
GB	Duck Tales 2	Duck Tales 2 (U) [!].gb
GB	Earthworm Jim	Earthworm Jim (U) [!].gb
GB	Elevator Action	Elevator Action (U) [!].gb
GB	Elite Soccer	Soccer (E) (M3) [S][!].gb
GB	Exchanger	Exchanger (J) [S].gb
GB	Exodus	Exodus (Unl) [!].gb
GB	Explosive Brick '94	Explosive Brick '94 (Sachen) [!].gb
GB	Extra Bases!	Extra Bases! (U) [!].gb
GB	F-1 Pole Position	F-1 Pole Position (UE) [!].gb
GB	F-1 Race	F-1 Race (W) (V1.0) [!].gb
GB	F-15 Strike Eagle	F-15 Strike Eagle (U) [!].gb
GB	Faceball 2000	Faceball 2000 (U) [!].gb
GB	Fastest Lap	Fastest Lap (JU) [!].gb
GB	Felix the Cat	Felix the Cat (U).gb
GB	Ferrari - Grand Prix Challenge	Ferrari - Grand Prix Challenge (U) [!].gb
GB	Fidgetts, The	Fidgetts, The (UE) (M7) [!].gb
GB	FIFA International Soccer	FIFA International Soccer (U) (M4) [S].gb
GB	FIFA Soccer '96	FIFA Soccer '96 (UE) (M4) [S][!].gb
GB	FIFA Soccer '97	FIFA Soccer '97 (UE) [S][!].gb
GB	FIFA Soccer '98 - Road to the World Cup	World Cup '98 (E) [S][!].gb
GB	Fighting Simulator 2in1 - Flying Warriors	Fighting Simulator 2in1 - Flying Warriors (U) [!].gb
